"","hogar","turista","todos"
"01",0.644421403753691,0.957642301653486,0.661081437558129
"02",0.402169582792522,0.657956538644975,0.410280183933982
"03",0.829629919930334,0.469424505676789,0.822518812521348
"04",0.72239382921869,0.699955758108309,0.721979049277862
"05",0.669729571297841,0.7441884149902,0.671667672718497
"06",0.677083259073296,0.616464798513636,0.674987563674942
"07",0.728081883202838,0.966123752689481,0.734399918615114
"08",0.688372121266754,0.971715825293717,0.694253667664868
"09",0.604653060910247,0.574918033025352,0.602832250187094
"10",0.669419332404615,0.955883167521408,0.67894977510349
"11",0.66528456035294,0.736992319617303,0.667838106728114
"12",0.633824745564214,0.646824017821258,0.63552703997566
"13",0.659952809781015,0.811357032588975,0.668240719422812
"14",0.648448621074988,0.671691329140088,0.649515189802249
"15",0.631860758579862,0.569942506334955,0.624753934881149
"16",0.526133383435749,0.404148693697778,0.520688895246344
"17",0.619248625861997,0.885507517153748,0.656143638646396
"18",0.687613783186416,0.831482692887246,0.707638382816938
"19",0.810266968102946,0.676276672272032,0.807640777653352
"20",0.689513830047804,0.524524591231898,0.680264311776232
"21",0,0.688463063378527,0.00547578491907352
"22",0.707243059185808,0.695463077753736,0.706474774742242
"23",0.645299757743981,0.767202541181338,0.65041891436801
"24",0.645725580639583,0.654900774252333,0.646339156700825
"25",0.93354218932392,0.975664445428753,0.934577981143072
"26",0.901021627027906,1,0.902374042367315
"27",0.789262269103257,0.928605198606453,0.791338483773378
"28",0.813958213511652,0.720848704349166,0.812420569911783
"29",0.733759869090741,0.925869918169191,0.744517329033253
"30",0.730790625937778,0.823326633999123,0.733382383007264
"31",0.817750441317324,0.796227016385162,0.817357477387814
"32",0.723624593091413,0.674398698581652,0.721357947370069
