estado	visitas
Ags	0.01
BC	0
BCS	0
Cam	0
Coah	0
Col	0
Chis	0
Chi	0
DF	0.4
Dgo	0
Gto	0.16
Gro	0.01
Hgo	0.05
Jal	0.05
Mex	0.15
Mich	0.01
Mor	0
Nay	0
NL	0.03
Oax	0
Pue	0.02
QRoo	0.01
SLP	0.03
Sin	0
Son	0
Tab	0
Tam	0.01
Tlax	0
Ver	0.03
Yuc	0.01
Zac	0.01
