estado	visitas
Ags	0.01
BC	0
BCS	0.01
Cam	0.04
Coah	0.01
Col	0
Chis	0.02
Chi	0.01
DF	0.29
Dgo	0
Gto	0.02
Gro	0
Hgo	0.01
Jal	0.03
Mex	0.03
Mich	0
Mor	0.01
Nay	0
NL	0.07
Oax	0.01
Pue	0.01
Qro	0.01
SLP	0
Sin	0.01
Son	0.02
Tab	0.07
Tam	0.01
Tlax	0.02
Ver	0.07
Yuc	0.29
Zac	0
