estado	visitas
Ags	0
BC	0
BCS	0
Cam	0
Coah	0.01
Col	0
Chis	0
Chi	0.01
DF	0.43
Dgo	0
Gto	0.05
Gro	0
Jal	0.03
Mex	0.24
Mich	0
Mor	0.01
Nay	0
NL	0
Oax	0
Pue	0.04
Qro	0.08
QRoo	0.01
SLP	0.03
Sin	0
Son	0
Tab	0
Tam	0
Tlax	0
Ver	0.04
Yuc	0
Zac	0
