estado	visitas
Ags	0
BC	0
BCS	0
Cam	0.01
Coah	0.04
Col	0.01
Chis	0
Chi	0
DF	0.18
Dgo	0
Gto	0.04
Gro	0
Hgo	0.02
Jal	0.03
Mex	0.02
Mich	0
Mor	0
Nay	0
NL	0.44
Oax	0
Pue	0
Qro	0.01
QRoo	0.03
SLP	0.01
Sin	0
Son	0
Tab	0.02
Tlax	0
Ver	0.15
Yuc	0
Zac	0.01
