estado	visitas
Ver	0.04
BC	0
BCS	0
Son	0
Ags	0
Col	0
Chis	0.01
Cam	0
Coah	0
Chi	0
DF	0.16
Tam	0
Jal	0
SLP	0
Sin	0
Tab	0
Oax	0
Pue	0.64
Gto	0
Dgo	0
Hgo	0.01
Gro	0
Mex	0.06
Qro	0
Mor	0
Mich	0
NL	0
Nay	0
Yuc	0.01
QRoo	0.04
Zac	0
