visitas	estado
0.96	Ags
0.66	BC
0.47	BCS
0.7	Cam
0.74	Coah
0.62	Col
0.97	Chis
0.97	Chi
0.57	DF
0.96	Dgo
0.74	Gto
0.65	Gro
0.81	Hgo
0.67	Jal
0.57	Mex
0.4	Mich
0.89	Mor
0.83	Nay
0.68	NL
0.52	Oax
0.69	Pue
0.7	Qro
0.77	QRoo
0.65	SLP
0.98	Sin
1	Son
0.93	Tab
0.72	Tam
0.93	Tlax
0.82	Ver
0.8	Yuc
0.67	Zac
