estado	visitas
Ags	0.02
BC	0.01
BCS	0.01
Cam	0.01
Coah	0.01
Col	0.01
Chis	0.01
Chi	0.01
DF	0
Dgo	0
Gto	0.08
Gro	0.04
Hgo	0.13
Jal	0.08
Mich	0.05
Mor	0.05
Nay	0.01
NL	0.03
Oax	0.02
Pue	0.11
Qro	0.1
QRoo	0.06
SLP	0.01
Sin	0.01
Son	0
Tab	0.03
Tam	0.02
Tlax	0.01
Ver	0.05
Yuc	0.02
Zac	0.01
