visitas	estado
0.64	Ags
0.4	BC
0.83	BCS
0.72	Cam
0.67	Coah
0.68	Col
0.73	Chis
0.69	Chi
0.6	DF
0.67	Dgo
0.67	Gto
0.63	Gro
0.66	Hgo
0.65	Jal
0.63	Mex
0.53	Mich
0.62	Mor
0.69	Nay
0.81	NL
0.69	Oax
0	Pue
0.71	Qro
0.65	QRoo
0.65	SLP
0.93	Sin
0.9	Son
0.79	Tab
0.81	Tam
0.73	Tlax
0.73	Ver
0.82	Yuc
0.72	Zac
