estado	visitas
Ags	0.15
BC	0
BCS	0.02
Cam	0
Coah	0.05
Col	0.02
Chis	0
Chi	0.05
DF	0.2
Dgo	0.02
Gto	0.08
Gro	0
Hgo	0.02
Jal	0.2
Mex	0
Mich	0
Mor	0
Nay	0
NL	0.08
Oax	0
Pue	0
Qro	0.05
QRoo	0
SLP	0.05
Sin	0
Son	0
Tab	0
Tam	0
Tlax	0
Ver	0
Yuc	0
