estado	visitas
Ags	0
BC	0
BCS	0
Cam	0
Coah	0.01
Col	0
Chis	0
Chi	0
DF	0.68
Dgo	0
Gto	0
Gro	0.07
Hgo	0
Jal	0.01
Mex	0.1
Mich	0
Nay	0
NL	0
Oax	0.01
Pue	0.06
Qro	0.01
QRoo	0.01
SLP	0
Sin	0.01
Son	0
Tab	0.01
Tam	0
Tlax	0
Ver	0.01
Yuc	0
Zac	0
