estado	visitas
Ver	0.01
BC	0
BCS	0
Son	0
Ags	0.01
Col	0
Chis	0.03
Cam	0.19
Coah	0.01
Chi	0.01
DF	0.17
Tam	0
Tlax	0
Jal	0.01
SLP	0.01
Sin	0
Tab	0.12
Oax	0
Pue	0.01
Gto	0.01
Dgo	0
Hgo	0.01
Gro	0
Mex	0.04
Qro	0.01
Mor	0.01
Mich	0
NL	0.02
Nay	0.01
QRoo	0.34
Zac	0
