estado	visitas
Ags	0.01
BC	0
BCS	0
Cam	0
Col	0
Chis	0
Chi	0.02
DF	0.15
Dgo	0.15
Gto	0.03
Gro	0
Hgo	0
Jal	0.06
Mex	0
Mich	0
Mor	0
Nay	0
NL	0.44
Oax	0.01
Pue	0.01
Qro	0.02
QRoo	0.01
SLP	0.02
Sin	0.01
Son	0
Tab	0
Tam	0.03
Tlax	0
Ver	0
Yuc	0.01
Zac	0.03
