estado	visitas
Ver	0.04
BC	0.01
BCS	0
Son	0
Ags	0.01
Col	0
Chis	0.01
Cam	0
Coah	0.17
Chi	0
DF	0.2
Tam	0.19
Tlax	0
Jal	0.03
SLP	0.07
Sin	0.01
Tab	0.03
Oax	0
Pue	0.03
Gto	0.03
Dgo	0.01
Hgo	0
Gro	0.01
Mex	0.04
Qro	0.03
Mor	0
Mich	0.01
Nay	0
Yuc	0.01
QRoo	0.05
Zac	0.01
