estado	visitas
Ver	0.04
BC	0
BCS	0
Son	0
Ags	0.01
Col	0
Chis	0.04
Coah	0
Chi	0
DF	0.12
Tam	0.01
Tlax	0
Jal	0.01
SLP	0
Sin	0
Tab	0.18
Oax	0
Pue	0.01
Gto	0
Dgo	0
Hgo	0
Gro	0
Mex	0.05
Qro	0
Mor	0
Mich	0
NL	0.01
Nay	0
Yuc	0.46
QRoo	0.07
Zac	0
