estado	visitas
Ver	0.01
BC	0
BCS	0
Son	0
Ags	0.01
Col	0
Chis	0
Cam	0.01
Chi	0.03
DF	0.12
Tam	0.04
Tlax	0.01
Jal	0.01
SLP	0.01
Sin	0.01
Tab	0.01
Oax	0.01
Pue	0.01
Gto	0.02
Dgo	0.25
Hgo	0.01
Gro	0.01
Mex	0.02
Qro	0.01
Mor	0.01
Mich	0.01
NL	0.34
Nay	0
Yuc	0
QRoo	0.01
Zac	0.01
