estado	visitas
Ver	0.02
BC	0
BCS	0.02
Son	0.04
Ags	0.02
Col	0.02
Chis	0.01
Cam	0
Coah	0.04
Chi	0.01
DF	0.26
Tam	0.01
Tlax	0
SLP	0.02
Sin	0.07
Tab	0.02
Oax	0.01
Pue	0.02
Gto	0.06
Dgo	0.01
Hgo	0.01
Gro	0.01
Mex	0.05
Qro	0.03
Mor	0.01
Mich	0.03
NL	0.08
Nay	0.03
Yuc	0.01
QRoo	0.05
Zac	0.02
