estado	visitas
Ver	0.04
BC	0.01
BCS	0
Son	0.01
Ags	0
Col	0.01
Chis	0.03
Coah	0.01
Chi	0
DF	0.21
Tam	0.02
Tlax	0
Jal	0.04
SLP	0
Sin	0
Tab	0.2
Oax	0
Pue	0.05
Gto	0
Dgo	0
Hgo	0
Gro	0
Mex	0.02
Qro	0.01
Mor	0
Mich	0
NL	0
Nay	0
Yuc	0.28
QRoo	0.07
Zac	0
