estado	visitas
Ver	3
BC	2
BCS	0
Son	0
Ags	1
Col	2
Chis	0
Cam	0
Coah	1
Chi	2
DF	34
Tam	0
Tlax	0
Jal	15
SLP	1
Sin	3
Tab	1
Oax	0
Pue	6
Gto	7
Dgo	0
Hgo	2
Gro	4
Mex	14
Qro	3
Mor	0
Mich	258
NL	2
Nay	0
Yuc	0
QRoo	2
Zac	0
