estado	visitas
Ver	0.02
BC	0
BCS	0
Son	0
Ags	0.02
Chis	0
Cam	0
Coah	0
Chi	0
DF	0.14
Tam	0.02
Tlax	0.02
Jal	0.5
SLP	0
Sin	0
Tab	0
Oax	0
Pue	0.02
Gto	0.02
Dgo	0
Hgo	0
Gro	0
Mex	0.1
Qro	0.02
Mor	0
Mich	0.05
NL	0.02
Nay	0
Yuc	0
QRoo	0
Zac	0.02
