visitas	estado
0.00779083586425459	Ags
0.00475373035785026	BC
0.00831902812623795	BCS
0.0108279413706589	Cam
0.0180905849729301	Coah
0.0055460187508253	Col
0.0174303446454509	Chis
0.00726264360227123	Chi
0.305559223557375	DF
0.00581011488181698	Dgo
0.0282582860161099	Gto
0.0129407104185924	Gro
0.0158457678595009	Hgo
0.0567806681632114	Jal
0.114353624719398	Mex
0.0109599894361548	Mich
0.0118843258946256	Mor
0.00435758616136274	Nay
0.0542717549187904	NL
0.00858312425722963	Oax
0.0467450151855275	Pue
0.0258814208371847	Qro
0.0361811699458603	QRoo
0.0122804700911132	SLP
0.0202033540208636	Sin
0.0155816717285092	Son
0.0310312953915225	Tab
0.0172982965799551	Tam
0.00528192261983362	Tlax
0.0393503235177605	Ver
0.0328799683084643	Yuc
0.00765878779875875	Zac
