visitas	estado
0.96	Ags
0.69	BC
0.5	BCS
0.73	Cam
0.77	Coah
0.65	Col
0.97	Chis
0.98	Chi
0.61	DF
0.96	Dgo
0.76	Gto
0.68	Gro
0.83	Hgo
0.7	Jal
0.6	Mex
0.44	Mich
0.9	Mor
0.85	Nay
0.7	NL
0.56	Oax
0.72	Pue
0.72	Qro
0.79	QRoo
0.68	SLP
0.98	Sin
1	Son
0.94	Tab
0.75	Tam
0.93	Tlax
0.84	Ver
0.82	Yuc
0.7	Zac
