visitas	estado
0.81	Ags
0.6	BC
0.94	BCS
0.87	Cam
0.83	Coah
0.84	Col
0.87	Chis
0.84	Chi
0.78	DF
0.83	Dgo
0.83	Gto
0.8	Gro
0.82	Hgo
0.82	Jal
0.8	Mex
0.72	Mich
0.79	Mor
0.84	Nay
0.93	NL
0.85	Oax
-0.01	Pue
0.86	Qro
0.81	QRoo
0.81	SLP
1	Sin
0.98	Son
0.91	Tab
0.93	Tam
0.88	Tlax
0.87	Ver
0.93	Yuc
0.87	Zac
