estado	visitas
Ver	0
BCS	0.06
Son	0.24
Ags	0
Col	0
Chis	0
Cam	0
Coah	0
Chi	0
DF	0.18
Tam	0
Tlax	0
Jal	0.03
SLP	0
Sin	0
Tab	0
Oax	0.15
Pue	0
Gto	0.03
Dgo	0
Hgo	0
Gro	0.15
Mex	0.06
Qro	0
Mor	0
Mich	0.09
NL	0
Nay	0.03
Yuc	0
QRoo	0
Zac	0
