estado	visitas
Ver	2
BCS	4
Son	21
Ags	1
Col	2
Chis	0
Cam	0
Coah	0
Chi	1
DF	31
Tam	1
Tlax	0
Jal	12
SLP	0
Sin	14
Tab	1
Oax	0
Pue	0
Gto	1
Dgo	0
Hgo	1
Gro	1
Mex	2
Qro	1
Mor	2
Mich	3
NL	13
Nay	3
Yuc	2
QRoo	2
Zac	0
