estado	visitas
Ver	2
BC	0
BCS	1
Son	1
Ags	0
Col	1
Chis	4
Cam	2
Chi	4
DF	14
Tam	2
Tlax	0
Jal	5
SLP	1
Sin	3
Tab	1
Oax	1
Pue	2
Gto	3
Dgo	10
Hgo	0
Gro	1
Mex	3
Qro	3
Mor	0
Mich	2
NL	52
Nay	0
Yuc	2
QRoo	3
Zac	2
