estado	visitas
Ver	0.02
BC	0
BCS	0.05
Son	0.01
Ags	0
Col	0.02
Chis	0.02
Cam	0.02
Coah	0
Chi	0
DF	0.08
Tam	0.02
Tlax	0
Jal	0.02
SLP	0.01
Sin	0.02
Tab	0
Oax	0
Pue	0.06
Gto	0.06
Dgo	0
Hgo	0.02
Mex	0.04
Qro	0.05
Mor	0.12
Mich	0.13
NL	0.01
Nay	0
Yuc	0
QRoo	0
Zac	0
