estado	visitas
Ags	0
BC	0
BCS	0
Cam	0
Coah	0.02
Col	0
Chis	0.05
Chi	0
DF	0.12
Dgo	0
Gto	0.02
Gro	0.02
Hgo	0.01
Jal	0
Mex	0.04
Mich	0
Mor	0.01
Nay	0
NL	0.01
Oax	0
Pue	0.04
Qro	0
QRoo	0.21
SLP	0
Sin	0
Son	0
Tab	0.16
Tam	0
Tlax	0
Ver	0.09
Yuc	0.2
Zac	0
