estado	visitas
Ver	63
BC	8
BCS	21
Son	28
Ags	12
Col	8
Chis	38
Cam	10
Coah	20
Chi	15
Tam	35
Tlax	9
Jal	130
SLP	16
Sin	27
Tab	29
Oax	22
Pue	93
Gto	45
Dgo	6
Hgo	52
Gro	37
Mex	554
Qro	47
Mor	40
Mich	22
NL	74
Nay	4
Yuc	41
QRoo	88
Zac	15
